id,ico,nazov,ulica,psc,obec_id,obec_nazov,obec_kod,okres,kraj,lat,lon,presnost_polohy,typ_prevadzky,typ_nazov,sektor,zdroj_id
44,00193241,Poľnohospodárske družstvo v Pribete,Rúbaňská 15,94655,38,Pribeta,SK0231501328,Komárno,Nitriansky,47.906807,18.30927,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
45,00194603,Poľnohospodárske družstvo Farná,Doležalova 3424/15C,82104,39,Bratislava - mestská časť Ružinov,SK0102529320,Bratislava II,Bratislavský,48.149645,17.164279,mestska_cast,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
46,00198013,Poľnohospodárske družstvo Veľké Zálužie,Hlavná 1,95135,40,Veľké Zálužie,SK0233500887,Nitra,Nitriansky,48.308171,17.940569,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
47,00198536,Poľnohospodárske družstvo Mojmírovce,Dolinská ul. 914/2,95115,41,Mojmírovce,SK0233500577,Nitra,Nitriansky,48.213314,18.064323,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
48,00198552,Poľnohospodárske družstvo Neverice,Družstevná 250/2,95172,42,Neverice,SK0237500593,Zlaté Moravce,Nitriansky,48.366667,18.283333,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
49,00199524,Poľnohospodárske družstvo Tvrdošovce,Szechényiho 10,94110,43,Tvrdošovce,SK0234503614,Nové Zámky,Nitriansky,48.095688,18.061308,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
50,00199541,"Poľnohospodárske družstvo v Zemnom, družstvo",,94122,44,Zemné,SK0234503649,Nové Zámky,Nitriansky,47.987724,17.994901,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
51,00200018,Poľnohospodárske družstvo Bolešov,,01853,45,Bolešov,SK0222512885,Ilava,Trenčiansky,48.983333,18.15,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
52,00200069,Poľnohospodárske družstvo Dubnica nad Váhom,Kvášovec 1695,01841,46,Dubnica nad Váhom,SK0222513016,Ilava,Trenčiansky,48.957172,18.167022,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
53,00200166,"Poľnohospodárske družstvo ""Vršatec""",,01852,47,Pruské,SK0222513598,Ilava,Trenčiansky,49.033333,18.216667,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
54,00201189,AGROSPOL - podielnicke poľnohospodárske družstvo Diviaky nad Nitricou,,97225,48,Diviaky nad Nitricou,SK0227513962,Prievidza,Trenčiansky,48.766667,18.5,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
55,00203220,Poľnohospodárske družstvo Brezová pod Bradlom,Štúrova 452,90613,49,Brezová pod Bradlom,SK0223504262,Myjava,Trenčiansky,48.661644,17.53703,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
56,00203572,Poľnohospodárske družstvo Poriadie,,90622,50,Poriadie,SK0223504688,Myjava,Trenčiansky,48.775141,17.608252,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
57,00205214,Poľnohospodárske družstvo v Chynoranoch,Bernolákova ulica 202/18,95633,51,Chynorany,SK0225543004,Partizánske,Trenčiansky,48.609821,18.27348,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
58,00205362,Poľnohospodárske družstvo Ludanice,,95611,52,Ludanice,SK0236505048,Topoľčany,Nitriansky,48.501468,18.120379,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
59,00205567,Poľnohospodárske družstvo Podlužany,,95652,53,Podlužany,SK0232502669,Bánovce nad Bebravou,Trenčiansky,48.770966,18.239113,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
60,00205583,"PD „BREZINA"" PRAVOTICE, družstvo",,95635,54,Pravotice,SK0221505382,Bánovce nad Bebravou,Trenčiansky,48.678024,18.298095,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
61,00205656,PODIELNICKÉ POĽNOHOSPODÁRSKE DRUŽSTVO RYBANY,,95636,55,Rybany,SK0221505455,Bánovce nad Bebravou,Trenčiansky,48.666713,18.260228,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
62,00205672,Poľnohospodárske družstvo Slatina nad Bebravou,,95653,56,Slatina nad Bebravou,SK0221505471,Bánovce nad Bebravou,Trenčiansky,48.745418,18.235802,okres,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
63,00205834,Poľnohospodárske družstvo BEBRAVA,,95655,57,Veľké Chlievany,SK0221505692,Bánovce nad Bebravou,Trenčiansky,48.703784,18.224509,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
64,00205869,Poľnohospodárske družstvo podielnikov Veľké Uherce,,95841,58,Veľké Uherce,SK0225505722,Partizánske,Trenčiansky,48.613712,18.438069,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
65,00206768,Poľnohospodárske družstvo Bošáca,,91307,59,Bošáca,SK0224505871,Nové Mesto nad Váhom,Trenčiansky,48.826459,17.842651,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
66,00206784,Poľnohospodárske družstvo Bzince pod Javorinou,,91611,60,Bzince pod Javorinou,SK0224505897,Nové Mesto nad Váhom,Trenčiansky,48.786735,17.771587,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
67,00206831,Poľnohospodárske družstvo podielníkov Drietoma,,,61,Drietoma,SK0229505960,Trenčín,Trenčiansky,48.9,17.95,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
68,00206865,Poľnohospodárske družstvo Hôrka nad Váhom,,91632,62,Hôrka nad Váhom,SK0224505994,Nové Mesto nad Váhom,Trenčiansky,48.716667,17.883333,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
69,00206873,Poľnohospodárske družstvo Bobot-Horňany,,91325,63,Bobot,SK0229505854,Trenčín,Trenčiansky,48.806392,18.189604,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
70,00206938,Roľnícke družstvo podielnikov Chocholná-Velčice,,91304,64,Chocholná-Velčice,SK0229506087,Trenčín,Trenčiansky,48.866811,17.948123,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
71,00207080,"Poľnohospodárske družstvo podielnikov Tematín v Modrovke, družstvo",,91635,65,Modrovka,SK0224506257,Nové Mesto nad Váhom,Trenčiansky,48.649201,17.882281,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
72,00207098,Poľnohospodárske družstvo Vlára Nemšová,Družstevná 18,91441,66,Nemšová,SK0229506281,Trenčín,Trenčiansky,48.961676,18.113025,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
73,00207128,Poľnohospodárske družstvo Trenčín - Opatová,Vážska 255/17,91401,67,Trenčianska Teplá,SK0229506559,Trenčín,Trenčiansky,48.93373,18.120323,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
74,00207136,Poľnohospodárske družstvo Pobedim,,91623,68,Pobedim,SK0224506401,Nové Mesto nad Váhom,Trenčiansky,48.65,17.8,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
75,00207161,Poľnohospodárske družstvo Podolie,,91622,69,Podolie,SK0224506427,Nové Mesto nad Váhom,Trenčiansky,48.674218,17.774922,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
76,00207241,Poľnohospodársky podnik Trenčín-Soblahov a. s.,,91338,70,Soblahov,SK0229506508,Trenčín,Trenčiansky,48.864744,18.072372,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
77,00207250,Poľnohospodárske družstvo Stará Turá,Družstevná 679,91601,71,Stará Turá,SK0224506524,Nové Mesto nad Váhom,Trenčiansky,48.776457,17.692694,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
78,00207284,Poľnohospodárske družstvo Trenčianska Turná,345,91321,72,Trenčianska Turná,SK0229506567,Trenčín,Trenčiansky,48.85,18.016667,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
79,00207306,"Poľnohospodárske družstvo, Trenčianske Mitice",,91322,73,Trenčianske Mitice,SK0229506605,Trenčín,Trenčiansky,48.823,18.113,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
80,00222453,Poľnohospodárske družstvo INOVEC Trenčianske Stankovce,Veľké Stankovce 891,91311,74,Trenčianske Stankovce,SK0229545741,Trenčín,Trenčiansky,48.838974,17.987249,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
81,00223603,Bezovec - Poľnohospodárske družstvo,Stará Lehota,91635,75,Modrová,SK0224506249,Nové Mesto nad Váhom,Trenčiansky,48.644488,17.895336,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
82,00227404,Centrum sociálnych služieb - LIPA,,,76,Kostolná-Záriečie,SK0229506133,Trenčín,Trenčiansky,48.878828,17.96711,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
83,00308307,Mesto Nitra,Štefánikova trieda 80/60,95006,23,Nitra,SK0233500011,Nitra,Nitriansky,48.31257,18.09061,obec,mesto,Mesto - správa zelene,Komunálny a gastro bioodpad,1
84,00313114,Mesto Trnava,Ulica Hlavná 1/1,91771,28,Trnava,SK0217506745,Trnava,Trnavský,48.37729,17.586718,obec,mesto,Mesto - správa zelene,Komunálny a gastro bioodpad,1
85,00321796,Mesto Žilina,Námestie obetí komunizmu 3350/1,01131,34,Žilina,SK031B517402,Žilina,Žilinský,49.223464,18.739498,obec,mesto,Mesto - správa zelene,Komunálny a gastro bioodpad,1
86,00327646,Mesto Prešov,Hlavná 2907/73,08001,14,Prešov,SK0417524140,Prešov,Prešovský,49.000411,21.252273,obec,mesto,Mesto - správa zelene,Komunálny a gastro bioodpad,1
87,00351725,Centrum sociálnych služieb - Zemianske Podhradie,,,77,Zemianske Podhradie,SK0224556441,Nové Mesto nad Váhom,Trenčiansky,48.85,17.833333,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
88,00351741,Centrum sociálnych služieb - DEMY,,,27,Trenčín,SK0229505820,Trenčín,Trenčiansky,48.892358,18.039372,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
89,00351750,"„BORINKA - ALZHEIMERCENTRUM"", Zariadenie sociálnych služieb Nitra",,,23,Nitra,SK0233500011,Nitra,Nitriansky,48.31257,18.09061,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
90,00351768,"„NITRAVA"", Zariadenie sociálnych služieb Nitra",,,23,Nitra,SK0233500011,Nitra,Nitriansky,48.31257,18.09061,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
91,00351784,"„SVETLO"", Zariadenie sociálnych služieb Olichov",,,78,Volkovce,SK0237500925,Zlaté Moravce,Nitriansky,48.333333,18.466667,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
92,00351997,Stredná odborná škola podnikania v remeslách a službách,,,25,Senica,SK0215504203,Senica,Trnavský,48.679121,17.364383,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
93,00352314,"„MAGNÓLIA"", Zariadenie sociálnych služieb Hurbanovo",,,79,Hurbanovo,SK0231501140,Komárno,Nitriansky,47.869084,18.189095,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
94,00352489,Zariadenie pre seniorov Komárno,,,80,Komárno,SK0231501026,Komárno,Nitriansky,47.757388,18.129917,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
95,00356786,"„PENZIÓN"", Zariadenie sociálnych služieb Topoľčany",,,26,Topoľčany,SK0236504998,Topoľčany,Nitriansky,48.559116,18.176052,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
96,00356883,Centrum sociálnych služieb - Partizánske,,,81,Partizánske,SK0225505315,Partizánske,Trenčiansky,48.627231,18.365466,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
97,00356891,"„CLEMENTIA"", Zariadenie sociálnych služieb Kovarce",,,82,Kovarce,SK0236543071,Topoľčany,Nitriansky,48.496327,18.158903,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
98,00357995,"„V KAŠTIELI"", Zariadenie sociálnych služieb Horné Obdokovce",,,83,Horné Obdokovce,SK0236542938,Topoľčany,Nitriansky,48.493402,18.045731,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
99,00363146,Poľnohospodárske družstvo Veľké Kosihy,Hlavná,94621,84,Veľké Kosihy,SK0231501387,Komárno,Nitriansky,47.766667,17.883333,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
100,00363243,Poľnohospodárske družstvo Trávnik,,,85,Trávnik,SK0231501379,Komárno,Nitriansky,47.773817,17.788543,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
101,00364193,Domov sociálnych služieb a zariadenie pre seniorov Kaštieľ,,,86,Stupava,SK0106508233,Malacky,Bratislavský,48.273132,17.032746,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
102,00399388,"Stredná odborná škola techniky a služieb, Šahy",,,87,Šahy,SK0232502782,Levice,Nitriansky,48.172145,18.713842,okres,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
103,00399850,Gymnázium Juraja Fándlyho,,,88,Šaľa,SK0235504025,Šaľa,Nitriansky,48.150995,17.876502,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
104,00494160,"„DUNAJ"", Zariadenie sociálnych služieb Kováčov",,,89,Kamenica nad Hronom,SK0234503231,Nové Zámky,Nitriansky,47.831308,18.725503,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
105,00587052,"„LIPKA"", Zariadenie sociálnych služieb Lipová",,,90,Lipová,SK0234503321,Bardejov,Prešovský,49.248768,21.479465,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
106,00587184,Poľnohospodárske družstvo Strekov,Hlavná ul. 55/60,94137,91,Strekov,SK0234503550,Nové Zámky,Nitriansky,47.9,18.416667,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
107,00587222,Poľnohospodárske družstvo Podhájska-Radava,Družstevná 3/496,94148,92,Podhájska,SK0234503479,Nové Zámky,Nitriansky,48.10382,18.339624,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
108,00589144,"Poľnohospodárske družstvo podielnikov ""SINCE""",,94359,93,Sikenička,SK0234503541,Nové Zámky,Nitriansky,47.933333,18.683333,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
109,00589403,Poľnohospodárske družstvo FLÓRA,Ľ. Podjavorinskej 445/7,91401,67,Trenčianska Teplá,SK0229506559,Trenčín,Trenčiansky,48.93373,18.120323,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
110,00589942,Poľnohospodárske družstvo Jarok,Hlavná ulica 622/232,95148,94,Jarok,SK0233500356,Nitra,Nitriansky,48.27723,17.964227,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
111,00590100,Poľnohospodárske družstvo Skalka nad Váhom,,91331,95,Skalka nad Váhom,SK0229546682,Trenčín,Trenčiansky,48.928,18.072,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
112,00596175,Domov sociálnych služieb-Adamovské Kochanovce,,,96,Adamovské Kochanovce,SK0229505838,Trenčín,Trenčiansky,48.853,17.925,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
113,00596221,"„KAMILKA"", Zariadenie sociálnych služieb Maňa",,,97,Maňa,SK0234503363,Nové Zámky,Nitriansky,48.15367,18.285713,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
114,00596248,Domov sociálnych služieb pre dospelých Bojková,,,98,Cerová,SK0215504297,Senica,Trnavský,48.586342,17.382769,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
115,00596264,Centrum sociálnych služieb - Jesienka,,,99,Myjava,SK0223504581,Myjava,Trenčiansky,48.754035,17.565022,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
116,00596469,Zariadenie pre seniorov Skalica,,,100,Skalica,SK0216504815,Skalica,Trnavský,48.770797,17.20201,okres,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
117,00596485,Centrum sociálnych služieb Okoč - Opatovský Sokolec,,,101,Okoč,SK0211501824,Dunajská Streda,Trnavský,47.886638,17.809046,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
